SampleID	Cruise	Station	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	PAR	Chlorophyll
P16N-S04-N01	P16N	S04	15/2/06	05:00.0	-14.00	-151.00	1001.01	4342.00	4.13	34.52	130.30	68.41	0.01	35.81	35.82		2.46		
P16N-S04-N02	P16N	S04	15/2/06	05:00.0	-14.00	-151.00	702.99	4342.00	5.53	34.46	147.30	39.33	0.01	32.60	32.61		2.19		
P16N-S04-N04	P16N	S04	15/2/06	05:00.0	-14.00	-151.00	254.85	4342.00	19.34	35.63	169.80	0.78	0.02	5.46	5.48		0.58		
P16N-S04-N05	P16N	S04	15/2/06	05:00.0	-14.00	-151.00	203.41	4342.00	22.61	36.13	177.20	0.39	0.06	3.02	3.08		0.44		
P16N-S04-N06	P16N	S04	15/2/06	05:00.0	-14.00	-151.00	156.23	4342.00	25.00	36.35	191.60	0.19	0.12	0.19	0.31		0.26		
P16N-S04-N08	P16N	S04	15/2/06	05:00.0	-14.00	-151.00	103.57	4342.00	27.98	36.24	200.80	0.29	0.01	0.10	0.11		0.18		
P16N-S04-N11	P16N	S04	15/2/06	05:00.0	-14.00	-151.00	42.55	4342.00	29.07	36.14	193.80	0.19	0.01	0.19	0.20		0.18		
P16N-S04-N12	P16N	S04	15/2/06	05:00.0	-14.00	-151.00	23.46	4342.00	29.17	36.12	194.10	0.29	0.01	0.10	0.11		0.18		
P16N-S08-N03	P16N	S08	17/2/06	51:00.0	-10.00	-151.00	501.43	4766.00	7.51	34.58	140.50	33.47	0.01	34.25	34.26		2.30		
P16N-S08-N04	P16N	S08	17/2/06	51:00.0	-10.00	-151.00	251.02	4766.00	16.49	35.24	157.20	3.51	0.01	10.83	10.84		0.96		
P16N-S08-N05	P16N	S08	17/2/06	51:00.0	-10.00	-151.00	202.05	4766.00	20.69	35.84	165.60	1.07	0.02	6.24	6.26		0.64		
P16N-S08-N06	P16N	S08	17/2/06	51:00.0	-10.00	-151.00	152.87	4766.00	23.65	36.29	179.80	0.49	0.10	3.12	3.22		0.45		
P16N-S08-N08	P16N	S08	17/2/06	51:00.0	-10.00	-151.00	103.09	4766.00	27.32	36.36	196.50	0.58	0.01	0.10	0.11		0.22		
P16N-S08-N11	P16N	S08	17/2/06	51:00.0	-10.00	-151.00	36.49	4766.00	29.19	35.98	194.20	0.29	0.01	0.00	0.01		0.20		
P16N-S08-N12	P16N	S08	17/2/06	51:00.0	-10.00	-151.00	21.87	4766.00	29.21	35.98	194.50	0.39	0.01	0.10	0.11		0.20		
P16N-S12-N01	P16N	S12	19/2/06	54:00.0	-6.00	-151.00	1002.06	5131.00	4.37	34.55	86.90	78.46	0.02	39.42	39.44		2.75		
P16N-S12-N03	P16N	S12	19/2/06	54:00.0	-6.00	-151.00	502.87	5131.00	8.33	34.64	53.00	32.69	0.02	36.49	36.51		2.45		
P16N-S12-N04	P16N	S12	19/2/06	54:00.0	-6.00	-151.00	255.02	5131.00	12.56	34.93	65.00	16.10	0.02	26.54	26.56		1.95		
P16N-S12-N05	P16N	S12	19/2/06	54:00.0	-6.00	-151.00	206.24	5131.00	15.42	35.19	117.10	7.51	0.03	17.85	17.88		1.45		
P16N-S12-N06	P16N	S12	19/2/06	54:00.0	-6.00	-151.00	156.27	5131.00	19.33	35.57	155.10	1.56	0.08	8.97	9.05		0.86		
P16N-S12-N08	P16N	S12	19/2/06	54:00.0	-6.00	-151.00	103.30	5131.00	27.14	36.25	188.90	0.39	1.11	1.56	2.67		0.41		
P16N-S12-N11	P16N	S12	19/2/06	54:00.0	-6.00	-151.00	36.59	5131.00	27.97	35.76	199.80	0.39	0.09	2.44	2.53		0.38		
P16N-S12-N12	P16N	S12	19/2/06	54:00.0	-6.00	-151.00	20.78	5131.00	27.99	35.76	199.60	0.49	0.09	2.53	2.62		0.38		
